Output of simple 2-box model under RCP3PD radiative forcing,
Low  response ECS=1.5; TCR=1.0K; Aerosol scaled by:     0.500000,
Low AR4 vals  ECS=2.0; TCR=1.0K; Aerosol scaled by:     0.500000,
High response ECS=4.5; TCR=2.5K; Aerosol scaled by:      1.50000,
High AR4 vals ECS=4.5; TCR=3.0K; Aerosol scaled by:      1.50000,
Year,Observations,Total forcing,Aerosol forcing,Cumulative CO2,Low response,Low - AR4,High response,High - AR4
1923.00,0.0892500,0.618842,-0.255042,95.5158,0.184082,0.185768,0.270223,0.323620
1924.00,0.0392500,0.621606,-0.263123,97.2356,0.189140,0.190847,0.281713,0.337486
1925.00,0.139250,0.656901,-0.263141,98.9687,0.194350,0.196079,0.293358,0.351532
1926.00,0.239250,0.701245,-0.263762,100.713,0.200325,0.202054,0.306985,0.367999
1927.00,0.139250,0.721251,-0.268094,102.572,0.206762,0.208482,0.321668,0.385748
1928.00,0.129250,0.674629,-0.272843,104.437,0.212132,0.213886,0.333506,0.399997
1929.00,-0.000750003,0.624013,-0.275840,106.406,0.215368,0.217238,0.339968,0.407648
1930.00,0.229250,0.652519,-0.275574,108.355,0.217917,0.219928,0.344811,0.413310
1931.00,0.259250,0.678528,-0.269673,110.198,0.221055,0.223190,0.351515,0.421249
1932.00,0.219250,0.645150,-0.263158,111.858,0.223635,0.225917,0.357483,0.428281
1933.00,0.0592500,0.656846,-0.260836,113.559,0.225512,0.227967,0.362141,0.433704
1934.00,0.219250,0.717064,-0.263252,115.329,0.228396,0.230990,0.369264,0.442144
1935.00,0.169250,0.773297,-0.265242,117.151,0.232949,0.235628,0.380304,0.455380
1936.00,0.209250,0.831551,-0.268246,119.082,0.238960,0.241677,0.394737,0.472765
1937.00,0.329250,0.845050,-0.269306,121.071,0.245547,0.248289,0.410469,0.491731
1938.00,0.309250,0.833606,-0.261495,122.995,0.251398,0.254197,0.424742,0.508895
1939.00,0.299250,0.837512,-0.256511,124.966,0.256386,0.259279,0.437452,0.524132
1940.00,0.399250,0.848384,-0.260351,127.032,0.261076,0.264078,0.449446,0.538480
1941.00,0.399250,0.840653,-0.266567,129.116,0.265400,0.268528,0.460103,0.551181
1942.00,0.329250,0.796379,-0.271949,131.227,0.268495,0.271798,0.467296,0.559629
1943.00,0.369250,0.772910,-0.274817,133.382,0.270210,0.273737,0.470839,0.563598
1944.00,0.509250,0.801498,-0.278784,135.534,0.271897,0.275652,0.474131,0.567257
1945.00,0.369250,0.840125,-0.283026,137.463,0.274605,0.278552,0.479698,0.573703
1946.00,0.279250,0.874348,-0.291048,139.543,0.278347,0.282453,0.487437,0.582808
1947.00,0.299250,0.889470,-0.304166,141.805,0.282690,0.286938,0.495970,0.592880
1948.00,0.309250,0.898865,-0.317167,144.149,0.287197,0.291585,0.504099,0.602451
1949.00,0.239250,0.878521,-0.324644,146.450,0.291214,0.295763,0.510541,0.609949
1950.00,0.149250,0.841639,-0.332793,148.973,0.293985,0.298743,0.513699,0.613417
1951.00,0.319250,0.801351,-0.356395,151.829,0.295451,0.300466,0.512798,0.611908
1952.00,0.369250,0.766310,-0.380510,154.735,0.295922,0.301229,0.508035,0.605671
1953.00,0.439250,0.746104,-0.393785,157.680,0.295757,0.301378,0.500867,0.596490
1954.00,0.219250,0.754805,-0.406598,160.698,0.295659,0.301591,0.493567,0.587156
1955.00,0.149250,0.815376,-0.419692,163.932,0.296964,0.303155,0.489441,0.581721
1956.00,0.0892500,0.899099,-0.433029,167.354,0.300766,0.307131,0.491178,0.583477
1957.00,0.339250,0.966800,-0.446514,170.896,0.306908,0.313370,0.498412,0.591969
1958.00,0.389250,0.982448,-0.455691,174.546,0.313966,0.320498,0.507848,0.603156
1959.00,0.339250,0.968833,-0.456425,178.211,0.320377,0.327010,0.516194,0.612998
1960.00,0.289250,0.880203,-0.455518,181.981,0.324398,0.331222,0.519531,0.616697
1961.00,0.369250,0.751567,-0.471833,185.819,0.324513,0.331667,0.513417,0.608810
1962.00,0.359250,0.645151,-0.491885,189.755,0.321034,0.328643,0.497747,0.589220
1963.00,0.389250,0.162053,-0.501355,193.847,0.308411,0.316788,0.459290,0.541716
