Output of simple 2-box model under RCP45 radiative forcing,
Low  response ECS=1.5; TCR=1.0K; Aerosol scaled by:     0.500000,
Low AR4 vals  ECS=2.0; TCR=1.0K; Aerosol scaled by:     0.500000,
High response ECS=4.5; TCR=2.5K; Aerosol scaled by:      1.50000,
High AR4 vals ECS=4.5; TCR=3.0K; Aerosol scaled by:      1.50000,
Year,Observations,Total forcing,Aerosol forcing,Cumulative CO2,Low response,Low - AR4,High response,High - AR4
1881.00,0.149250,0.429205,-0.164782,41.1051,0.125656,0.125737,0.219754,0.263523
1882.00,0.169250,0.339820,-0.163024,41.9658,0.127518,0.127672,0.221179,0.265092
1883.00,0.0692500,-0.563533,-0.163261,42.8463,0.112664,0.113475,0.182105,0.217025
1884.00,-0.0407500,-1.30178,-0.164962,43.7334,0.0721945,0.0745361,0.0805316,0.0923955
1885.00,-0.0607500,-0.718939,-0.162722,44.6256,0.0336531,0.0374083,-0.0160919,-0.0260745
1886.00,-0.0207500,-0.235809,-0.161224,45.5238,0.0171035,0.0214595,-0.0585543,-0.0780761
1887.00,-0.0507500,-0.117215,-0.163560,46.4350,0.0124114,0.0169352,-0.0718527,-0.0942957
1888.00,0.0892500,-0.0165989,-0.172423,47.3767,0.0119804,0.0165180,-0.0750007,-0.0980631
1889.00,0.199250,-0.0845096,-0.176324,48.3169,0.0122473,0.0167737,-0.0767464,-0.100109
1890.00,-0.0707500,-0.123486,-0.178559,49.2846,0.0107579,0.0153348,-0.0827920,-0.107424
1891.00,0.0392500,-0.0281683,-0.185279,50.2669,0.0104457,0.0150301,-0.0860759,-0.111349
1892.00,-0.0607500,0.171455,-0.189980,51.2641,0.0151672,0.0195836,-0.0772433,-0.100422
1893.00,-0.120750,0.340367,-0.193352,52.2585,0.0255577,0.0296144,-0.0545716,-0.0725416
1894.00,-0.0307500,0.458547,-0.196997,53.2819,0.0396232,0.0432050,-0.0228835,-0.0336319
1895.00,0.0192500,0.434966,-0.202331,54.3323,0.0537711,0.0568921,0.00895278,0.00543024
1896.00,0.209250,0.262909,-0.205144,55.3976,0.0631604,0.0660033,0.0291302,0.0301740
1897.00,0.169250,0.163166,-0.205776,56.4871,0.0670169,0.0697857,0.0359399,0.0385157
1898.00,-0.0507500,0.258699,-0.207201,57.6031,0.0703956,0.0731114,0.0417838,0.0456677
1899.00,0.109250,0.367990,-0.210305,58.7623,0.0768465,0.0794062,0.0552278,0.0621289
1900.00,0.209250,0.414758,-0.213752,59.9495,0.0852337,0.0875775,0.0734060,0.0843802
1901.00,0.0892500,0.398490,-0.220041,61.2045,0.0932807,0.0954304,0.0906218,0.105436
1902.00,-0.0307500,-0.0416702,-0.226934,62.4735,0.0929583,0.0952147,0.0870958,0.101054
1903.00,-0.120750,-0.403369,-0.234030,63.8171,0.0794621,0.0822833,0.0510495,0.0568193
1904.00,-0.140750,-0.0817013,-0.241156,65.1894,0.0669289,0.0702646,0.0170830,0.0151665
